"","choices","outcomes"
"1","orange",0
"2","orange",0
"3","blue",1
"4","orange",0
"5","blue",1
"6","blue",0
"7","orange",0
"8","blue",1
"9","blue",1
"10","blue",1
"11","blue",1
"12","blue",1
"13","blue",1
"14","blue",1
"15","orange",0
"16","blue",1
"17","blue",1
"18","blue",1
"19","blue",1
"20","blue",1
"21","blue",1
"22","orange",0
"23","blue",1
"24","blue",1
"25","blue",1
"26","orange",0
"27","blue",1
"28","blue",1
"29","blue",0
"30","orange",1
"31","orange",0
"32","blue",1
"33","orange",1
"34","orange",1
"35","orange",0
"36","blue",1
"37","blue",1
"38","blue",1
"39","blue",1
"40","blue",0
"41","orange",1
"42","orange",1
"43","orange",0
"44","blue",1
"45","blue",1
"46","blue",1
"47","blue",1
"48","orange",0
"49","blue",1
"50","blue",1
